"STATE_CODE","SHRP_ID","CONSTRUCTION_NO","CN_ASSIGN_DATE","CN_CHANGE_REASON","RECORD_STATUS","GPS_SPS","EXPERIMENT_NO","STATUS","ASSIGN_DATE","DEASSIGN_DATE","SEAS_ID","SUPPLEMENTAL","EXP_SECT_RS","BASIC_INFO_RS","PAV_STRUCT_RS","TRAFFIC_RS","CLIMATIC_RS"
19,"0602",9,7/1/1997 0:00:00,"10,19,38","E","G","7C","O",7/1/1997 0:00:00,6/1/2017 0:00:00,,,"E","E","E",,"E"
19,"0603",3,10/18/1990 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0603",4,7/15/1997 0:00:00,"38","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0604",3,9/28/1989 0:00:00,"1,57","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0605",5,1/11/1990 0:00:00,"6","E","S","6","O",1/1/1987 0:00:00,7/13/1997 0:00:00,,,"E","E","E","E","E"
19,"0605",6,8/3/1990 0:00:00,"1,6","E","S","6","O",1/1/1987 0:00:00,7/13/1997 0:00:00,,,"E","E","E","E","E"
19,"0605",7,1/30/1992 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,7/13/1997 0:00:00,,,"E","E","E","E","E"
19,"0605",9,8/28/1993 0:00:00,"4,12","E","S","6","O",1/1/1987 0:00:00,7/13/1997 0:00:00,,,"E","E","E","E","E"
19,"0605",11,7/13/1997 0:00:00,"10,19","E","G","7C","O",7/13/1997 0:00:00,6/1/2017 0:00:00,,,"E","E","E",,"E"
19,"0606",3,10/22/1990 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0607",4,10/18/1990 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0608",4,10/18/1990 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,,"E","E","E","E","E"
19,"0659",3,10/18/1990 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,"S","E","E","E","E","E"
19,"0659",4,4/15/1992 0:00:00,"1","E","S","6","O",1/1/1987 0:00:00,6/1/2008 0:00:00,,"S","E","E","E","E","E"
19,"1044",4,10/3/1995 0:00:00,"34","E","G","1","O",1/1/1987 0:00:00,9/1/2002 0:00:00,,,"E","E","E","E","E"
19,"6049",2,7/13/1992 0:00:00,"1","E","G","6A","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,,"E","E","E","E","E"
19,"9126",3,9/26/1990 0:00:00,"1","E","G","7B","O",6/16/1989 0:00:00,12/31/2004 0:00:00,,,"E","E","E","E","E"
19,"A340",2,3/23/1994 0:00:00,"26","E","S","3","O",1/1/1987 0:00:00,7/29/1994 0:00:00,,,"E","E","E","E","E"
19,"A350",3,3/28/1994 0:00:00,"26","E","S","3","O",1/1/1987 0:00:00,7/29/1994 0:00:00,,,"E","E","E","E","E"
20,"9037",2,9/15/1992 0:00:00,"5","E","G","9","O",1/1/1987 0:00:00,8/1/1994 0:00:00,,,"E","E","E","E","E"
26,"1004",2,6/5/1991 0:00:00,"1","E","G","1","O",1/1/1987 0:00:00,7/23/2004 0:00:00,,,"E","E","E","E","E"
26,"1013",2,6/15/1990 0:00:00,"1","E","G","1","O",1/1/1987 0:00:00,9/3/1998 0:00:00,,,"E","E","E","E","E"
